day,ua_form_factor,ua_os_version,location_city,location_region,referrer_host,referrer_url,total_visitors,total_sessions,avg_duration,total_bounce_rate,total_carts,total_checkouts
2022-04-18,Mobile,11,León,Guanajuato,lm.facebook.com,lm.facebook.com,1,1,29s,0,0,0
2022-04-16,Other,,,,,,1,1,0s,1,0,0
2022-03-30,Desktop,,,,,,1,1,0s,1,0,0
2022-02-06,,,,,,,0,0,0s,0,0,0
2022-02-24,Desktop,,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-16,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-15,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-29,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-05-02,Mobile,15.4,Monterrey,Nuevo Leon,,,1,1,47s,0,0,0
2022-03-21,,,,,,,0,0,0s,0,0,0
2022-03-19,,,,,,,0,0,0s,0,0,0
2022-04-17,Desktop,10,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-03-11,Desktop,,Council Bluffs,Iowa,,,28,28,0s,1,0,0
2022-04-16,Mobile,12,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-02-07,,,,,,,0,0,0s,0,0,0
2022-03-31,Mobile,15,Guadalajara,Jalisco,,,1,1,53s,0,0,0
2022-04-21,Mobile,6,,,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-03-01,Desktop,,,,,,2,2,0s,1,0,0
2022-04-21,Mobile,10,Tijuana,Baja California,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-17,Desktop,,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-04-21,Mobile,9,Playa del Carmen,Quintana Roo,l.instagram.com,l.instagram.com,1,1,2m39s,0,0,0
2022-04-17,Mobile,15,Guanajuato City,Guanajuato,m.facebook.com,m.facebook.com,1,1,24s,0,1,0
2022-04-21,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-02-03,,,,,,,0,0,0s,0,0,0
2022-03-12,Mobile,15,Guanajuato City,Guanajuato,njfbcxrjv5m663fq-63015125217.shopifypreview.com,njfbcxrjv5m663fq-63015125217.shopifypreview.com/cart,1,1,0s,1,0,0
2022-02-25,,,,,,,0,0,0s,0,0,0
2022-03-13,,,,,,,0,0,0s,0,0,0
2022-04-17,Mobile,11,Durango,Durango,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-23,Mobile,15,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,3s,0,0,0
2022-04-04,Desktop,,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-03-14,Desktop,10,León,Guanajuato,albanamx.myshopify.com,albanamx.myshopify.com/cart?oseid=F4h1QNBwqGzs6xoJQdVoBtEB,1,1,3m53s,0,0,0
2022-03-14,Desktop,,Council Bluffs,Iowa,,,26,26,0s,1,0,0
2022-02-18,,,,,,,0,0,0s,0,0,0
2022-04-19,Mobile,15,Tijuana,Baja California,m.facebook.com,m.facebook.com,3,3,0s,1,0,0
2022-04-01,Desktop,10,,,albanamx.myshopify.com,albanamx.myshopify.com,1,1,5m10s,0,0,0
2022-03-31,Desktop,,,,,,1,1,0s,1,0,0
2022-04-01,Desktop,10,Monterrey,Nuevo León,albanamx.myshopify.com,albanamx.myshopify.com/collections/all,1,1,2s,0,0,0
2022-04-19,Mobile,11,Tijuana,Baja California,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-30,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-10,Desktop,11,,,,,2,2,0s,1,0,0
2022-02-21,,,,,,,0,0,0s,0,0,0
2022-04-19,Mobile,10,Tijuana,Baja California,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
